PostDate,Industry,CountIdIndexed
23-03-2020,Transportation,0.7132
23-03-2020,Wholesale,0.6121
24-03-2020,Unknown,0.6614
24-03-2020,Communication,0.5582
24-03-2020,Construction,0.8393
24-03-2020,Energy,0.6035
24-03-2020,Entertainment,0.6444
24-03-2020,Financial Services,0.678
24-03-2020,Healthcare,0.6684
24-03-2020,Hospitality,0.2331
24-03-2020,Insurance,0.6517
24-03-2020,Manufacturing,0.5806
24-03-2020,Mining,0.5327
24-03-2020,Real Estate,0.6217
24-03-2020,Retail,0.5928
24-03-2020,Services,0.713
24-03-2020,Transportation,0.6577
24-03-2020,Wholesale,0.5905
25-03-2020,Unknown,0.6004
25-03-2020,Communication,0.4803
25-03-2020,Construction,0.7299
25-03-2020,Energy,0.5445
25-03-2020,Entertainment,0.5725
25-03-2020,Financial Services,0.6235
25-03-2020,Healthcare,0.6216
25-03-2020,Hospitality,0.1968
25-03-2020,Insurance,0.6008
25-03-2020,Manufacturing,0.5269
25-03-2020,Mining,0.4898
25-03-2020,Real Estate,0.5495
25-03-2020,Retail,0.5313
25-03-2020,Services,0.651
25-03-2020,Transportation,0.5891
25-03-2020,Wholesale,0.544
26-03-2020,Unknown,0.5722
26-03-2020,Communication,0.4067
26-03-2020,Construction,0.6774
26-03-2020,Energy,0.517
26-03-2020,Entertainment,0.5622
26-03-2020,Financial Services,0.5824
26-03-2020,Healthcare,0.5975
26-03-2020,Hospitality,0.2035
26-03-2020,Insurance,0.5871
26-03-2020,Manufacturing,0.4891
26-03-2020,Mining,0.4564
26-03-2020,Real Estate,0.5155
26-03-2020,Retail,0.5021
26-03-2020,Services,0.63
26-03-2020,Transportation,0.5194
26-03-2020,Wholesale,0.5419
27-03-2020,Unknown,0.5168
27-03-2020,Communication,0.3718
27-03-2020,Construction,0.5844
27-03-2020,Energy,0.4698
27-03-2020,Entertainment,0.5074
27-03-2020,Financial Services,0.5411
27-03-2020,Healthcare,0.5184
27-03-2020,Hospitality,0.1925
27-03-2020,Insurance,0.5543
27-03-2020,Manufacturing,0.4346
27-03-2020,Mining,0.4209
27-03-2020,Real Estate,0.4555
27-03-2020,Retail,0.4432
27-03-2020,Services,0.5605
27-03-2020,Transportation,0.4642
27-03-2020,Wholesale,0.4931
28-03-2020,Unknown,0.5033
28-03-2020,Communication,0.406
28-03-2020,Construction,0.5906
28-03-2020,Energy,0.4817
28-03-2020,Entertainment,0.5298
28-03-2020,Financial Services,0.5496
28-03-2020,Healthcare,0.5233
28-03-2020,Hospitality,0.1895
28-03-2020,Insurance,0.5645
28-03-2020,Manufacturing,0.4523
28-03-2020,Mining,0.4166
28-03-2020,Real Estate,0.4758
28-03-2020,Retail,0.4536
28-03-2020,Services,0.584
28-03-2020,Transportation,0.5024
28-03-2020,Wholesale,0.5195
29-03-2020,Unknown,0.5187
29-03-2020,Communication,0.4718
29-03-2020,Construction,0.6263
29-03-2020,Energy,0.5407
29-03-2020,Entertainment,0.5316
29-03-2020,Financial Services,0.5968
29-03-2020,Healthcare,0.5283
29-03-2020,Hospitality,0.2037
29-03-2020,Insurance,0.5947
29-03-2020,Manufacturing,0.5384
29-03-2020,Mining,0.4976
29-03-2020,Real Estate,0.493
29-03-2020,Retail,0.4538
29-03-2020,Services,0.609
29-03-2020,Transportation,0.5172
