PostDate,CountIdIndexed
16-12-2020,0.863
14-07-2020,0.8618
15-07-2020,0.8614
13-12-2020,0.8612
27-07-2020,0.8597
17-07-2020,0.8591
24-07-2020,0.858
18-07-2020,0.8566
29-07-2020,0.8566
25-07-2020,0.8562
28-07-2020,0.8554
14-12-2020,0.8544
19-07-2020,0.8538
07-01-2020,0.8537
26-07-2020,0.8535
23-07-2020,0.8533
27-11-2020,0.8511
20-07-2020,0.8493
15-12-2020,0.8488
21-07-2020,0.8482
30-07-2020,0.8468
13-07-2020,0.846
22-07-2020,0.8459
17-12-2020,0.8444
29-09-2020,0.8387
23-09-2020,0.8355
31-07-2020,0.8348
26-06-2020,0.8342
08-10-2020,0.8332
07-12-2020,0.8328
18-12-2020,0.8299
18-03-2020,0.8288
25-06-2020,0.8276
22-06-2020,0.8256
07-03-2020,0.8252
12-03-2020,0.8232
24-06-2020,0.8224
27-06-2020,0.8219
23-06-2020,0.82
13-08-2020,0.8184
07-11-2020,0.8165
21-06-2020,0.8152
28-06-2020,0.8128
08-11-2020,0.8125
06-08-2020,0.8063
29-06-2020,0.8055
30-06-2020,0.8048
20-06-2020,0.8026
20-12-2020,0.7933
19-12-2020,0.7899
19-06-2020,0.7877
18-06-2020,0.7842
13-06-2020,0.7826
19-03-2020,0.7819
17-06-2020,0.7808
14-06-2020,0.7771
06-12-2020,0.7768
15-06-2020,0.7766
06-10-2020,0.7742
16-06-2020,0.7734
07-04-2020,0.7702
06-11-2020,0.7689
12-02-2020,0.7654
28-09-2020,0.7651
07-10-2020,0.7608
04-07-2020,0.759
07-07-2020,0.7582
07-05-2020,0.7555
07-06-2020,0.7471
20-03-2020,0.7429
24-09-2020,0.7424
12-01-2020,0.7414
04-08-2020,0.7376
29-11-2020,0.7358
04-10-2020,0.7353
04-09-2020,0.7347
28-11-2020,0.7333
21-12-2020,0.7321
04-12-2020,0.7293
14-05-2020,0.7274
06-07-2020,0.7271
07-08-2020,0.7254
15-05-2020,0.7253
18-05-2020,0.7227
16-05-2020,0.7223
19-05-2020,0.7207
07-01-2021,0.7203
17-05-2020,0.7186
13-04-2020,0.7178
30-11-2020,0.7162
21-03-2020,0.715
23-12-2020,0.7135
27-09-2020,0.7124
13-05-2020,0.7119
05-07-2020,0.7114
07-09-2020,0.7106
04-11-2020,0.7099
22-03-2020,0.6995
05-06-2020,0.6956
05-03-2020,0.6928
05-02-2020,0.6899
01-05-2021,0.6898
05-05-2020,0.6881
06-06-2020,0.6865
20-05-2020,0.686
05-04-2020,0.6809
05-12-2020,0.6781
22-12-2020,0.6774
06-05-2020,0.6738
23-03-2020,0.6737
05-08-2020,0.6733
