PostDate,State,CountIDIndexed
07-03-2020,MA,1.0782
07-03-2020,MD,1.1057
07-03-2020,ME,1.193
07-03-2020,MI,1.1088
07-03-2020,MN,1.1095
07-03-2020,MO,1.0531
07-03-2020,MS,1.167
07-03-2020,MT,1.1518
07-03-2020,NC,1.1054
07-03-2020,ND,1.1738
07-03-2020,NE,1.1387
07-03-2020,NH,1.2094
07-03-2020,NJ,1.1009
07-03-2020,NM,1.0598
07-03-2020,NV,1.0885
07-03-2020,NY,1.0938
07-03-2020,OH,1.1177
07-03-2020,OK,1.1264
07-03-2020,OR,1.1054
07-03-2020,PA,1.0911
07-03-2020,Pi,1
07-03-2020,PR,1.0606
07-03-2020,RI,1.2205
07-03-2020,SC,1.0979
07-03-2020,SD,1.2225
07-03-2020,Sh,1.4013
07-03-2020,So,0
07-03-2020,TN,1.0671
07-03-2020,TX,1.0608
07-03-2020,Un,0.965
07-03-2020,UT,1.0972
07-03-2020,VA,1.092
07-03-2020,VI,0.7883
07-03-2020,VT,1.3055
07-03-2020,WA,1.0139
07-03-2020,WI,1.1257
07-03-2020,WV,1.2976
07-03-2020,WY,1.2175
08-03-2020,AK,1.0317
08-03-2020,AL,1.0938
08-03-2020,AR,1.145
08-03-2020,AZ,1.0452
08-03-2020,CA,1.066
08-03-2020,CO,1.0724
08-03-2020,CT,1.2238
08-03-2020,DC,1.0017
08-03-2020,DE,1.2117
08-03-2020,FL,1.081
08-03-2020,GA,1.0468
08-03-2020,HI,1.2969
08-03-2020,IA,1.1253
08-03-2020,ID,1.1294
08-03-2020,IL,1.1394
08-03-2020,IN,1.0794
08-03-2020,KS,1.1215
08-03-2020,KY,1.0995
08-03-2020,LA,1.2325
08-03-2020,Ly,0
08-03-2020,MA,1.074
08-03-2020,MD,1.0842
08-03-2020,ME,1.1945
08-03-2020,MI,1.0959
08-03-2020,MN,1.0956
08-03-2020,MO,1.0301
08-03-2020,MS,1.1314
08-03-2020,MT,1.166
08-03-2020,NC,1.0888
08-03-2020,ND,1.1508
08-03-2020,NE,1.123
08-03-2020,NH,1.2103
08-03-2020,NJ,1.0904
08-03-2020,NM,1.0493
08-03-2020,NV,1.0477
08-03-2020,NY,1.0916
08-03-2020,OH,1.1087
08-03-2020,OK,1.1043
08-03-2020,OR,1.0931
08-03-2020,PA,1.0812
08-03-2020,PR,1.0716
08-03-2020,RI,1.1966
08-03-2020,SC,1.077
08-03-2020,SD,1.1922
08-03-2020,So,0
08-03-2020,St,0.377
08-03-2020,TN,1.0695
08-03-2020,TX,1.0486
08-03-2020,UT,1.0663
08-03-2020,VA,1.0599
08-03-2020,VI,0.7414
08-03-2020,VT,1.3171
08-03-2020,WA,1.0004
08-03-2020,WI,1.1149
08-03-2020,WV,1.3138
08-03-2020,WY,1.1832
09-03-2020,AK,0.9968
09-03-2020,AL,1.101
09-03-2020,AR,1.1561
09-03-2020,AZ,1.0384
09-03-2020,CA,1.0773
09-03-2020,CO,1.0895
09-03-2020,CT,1.2357
09-03-2020,DC,1.0211
09-03-2020,DE,1.2127
09-03-2020,FL,1.1006
09-03-2020,GA,1.051
09-03-2020,GU,0
09-03-2020,HI,1.3119
09-03-2020,IA,1.1204
09-03-2020,ID,1.1371
09-03-2020,IL,1.1633
09-03-2020,IN,1.0792
09-03-2020,KS,1.134
09-03-2020,KY,1.1094
09-03-2020,LA,1.2284
09-03-2020,MA,1.1003
09-03-2020,MD,1.0962
09-03-2020,ME,1.2374
09-03-2020,MI,1.126
09-03-2020,MN,1.0957
09-03-2020,MO,1.0488
09-03-2020,MP,0
09-03-2020,MS,1.1003
09-03-2020,MT,1.1649
09-03-2020,NC,1.1028
09-03-2020,ND,1.1674
09-03-2020,NE,1.1321
09-03-2020,NH,1.2602
09-03-2020,NJ,1.0998
09-03-2020,NM,1.0346
09-03-2020,NV,0.9906
09-03-2020,NY,1.1095
09-03-2020,OH,1.1435
09-03-2020,OK,1.1075
09-03-2020,OR,1.0915
09-03-2020,PA,1.0983
09-03-2020,PR,1.1406
09-03-2020,RI,1.238
09-03-2020,SC,1.0913
09-03-2020,SD,1.1884
09-03-2020,Sh,1.9108
09-03-2020,So,0
09-03-2020,St,0.4898
09-03-2020,TN,1.0773
09-03-2020,TX,1.0573
09-03-2020,Un,1.0856
09-03-2020,UT,1.0665
09-03-2020,VA,1.073
09-03-2020,VI,0.7652
09-03-2020,VT,1.3635
09-03-2020,WA,1.0059
09-03-2020,WI,1.1275
09-03-2020,WV,1.3372
09-03-2020,WY,1.1731
10-03-2020,AK,0.9243
10-03-2020,AL,1.0916
10-03-2020,AR,1.1488
10-03-2020,AS,0
10-03-2020,AZ,1.0423
10-03-2020,CA,1.0765
10-03-2020,CO,1.1149
10-03-2020,CT,1.2417
10-03-2020,DC,1.0151
10-03-2020,DE,1.1783
10-03-2020,FL,1.1123
10-03-2020,GA,1.0621
10-03-2020,GU,0
10-03-2020,HI,1.269
10-03-2020,IA,1.0917
10-03-2020,ID,1.1093
10-03-2020,IL,1.1663
10-03-2020,IN,1.1319
10-03-2020,KS,1.0942
10-03-2020,KY,1.0882
10-03-2020,LA,1.2121
10-03-2020,MA,1.1114
10-03-2020,MD,1.0906
10-03-2020,ME,1.2115
10-03-2020,MI,1.1364
10-03-2020,MN,1.085
10-03-2020,MO,1.0452
10-03-2020,MP,0
10-03-2020,MS,1.0883
10-03-2020,MT,1.137
10-03-2020,NC,1.1005
10-03-2020,ND,1.1197
10-03-2020,NE,1.1361
10-03-2020,NH,1.2339
10-03-2020,NJ,1.1191
10-03-2020,NM,1.0147
10-03-2020,NV,0.9953
10-03-2020,NY,1.1151
10-03-2020,OH,1.1541
10-03-2020,OK,1.1217
10-03-2020,OR,1.0851
10-03-2020,PA,1.1258
10-03-2020,Pi,0.8511
10-03-2020,PR,1.1502
10-03-2020,RI,1.2334
10-03-2020,SC,1.0905
10-03-2020,SD,1.1842
10-03-2020,Sh,1.6561
10-03-2020,So,0
10-03-2020,St,0.6388
10-03-2020,TN,1.0946
10-03-2020,TX,1.0611
10-03-2020,Un,1.2871
10-03-2020,UT,1.0762
10-03-2020,VA,1.0688
10-03-2020,VI,0.7652
10-03-2020,VT,1.4116
10-03-2020,WA,0.9726
10-03-2020,WI,1.1532
10-03-2020,WV,1.3408
10-03-2020,WY,1.1661
11-03-2020,AK,0.9216
11-03-2020,AL,1.0696
11-03-2020,AR,1.1309
11-03-2020,AS,0
11-03-2020,AZ,1.0338
11-03-2020,CA,1.0635
11-03-2020,CO,1.1074
11-03-2020,CT,1.2284
11-03-2020,DC,1.0268
11-03-2020,DE,1.239
11-03-2020,FL,1.095
11-03-2020,GA,1.0567
11-03-2020,GU,0
11-03-2020,Ha,0
11-03-2020,HI,1.26
11-03-2020,IA,1.0746
11-03-2020,ID,1.1167
11-03-2020,IL,1.1244
11-03-2020,IN,1.1262
11-03-2020,KS,1.1161
11-03-2020,KY,1.1205
11-03-2020,LA,1.1985
11-03-2020,Ly,0
11-03-2020,MA,1.1051
11-03-2020,MD,1.0841
11-03-2020,ME,1.1821
11-03-2020,MI,1.1216
11-03-2020,MN,1.0719
11-03-2020,MO,1.0366
11-03-2020,MP,0
11-03-2020,MS,1.034
11-03-2020,MT,1.1064
11-03-2020,NC,1.0964
11-03-2020,ND,1.0886
11-03-2020,NE,1.148
11-03-2020,NH,1.2341
11-03-2020,NJ,1.1391
11-03-2020,NM,1.1656
11-03-2020,NV,0.9852
11-03-2020,NY,1.1038
11-03-2020,OH,1.1699
11-03-2020,OK,1.1321
11-03-2020,OR,1.082
11-03-2020,PA,1.1303
11-03-2020,Pi,0.6687
11-03-2020,PR,1.1117
11-03-2020,RI,1.2341
11-03-2020,SC,1.0628
11-03-2020,SD,1.2038
11-03-2020,Sh,1.5287
11-03-2020,So,0
11-03-2020,St,0.7156
11-03-2020,TN,1.0898
11-03-2020,TX,1.0514
11-03-2020,Un,1.3269
11-03-2020,UT,1.0857
11-03-2020,VA,1.0685
11-03-2020,VI,0.7414
11-03-2020,VT,1.3896
11-03-2020,WA,0.9615
11-03-2020,WI,1.1461
11-03-2020,WV,1.3062
11-03-2020,WY,1.1674
12-03-2020,AK,0.9055
12-03-2020,AL,1.0708
12-03-2020,AR,1.0982
12-03-2020,AS,0
12-03-2020,AZ,1.0143
12-03-2020,CA,1.0446
12-03-2020,CO,1.1044
12-03-2020,CT,1.1241
12-03-2020,DC,1.0106
12-03-2020,DE,1.2117
12-03-2020,FL,1.0729
12-03-2020,GA,1.0476
12-03-2020,GU,0
12-03-2020,HI,1.238
12-03-2020,IA,1.0819
12-03-2020,ID,1.0986
12-03-2020,IL,1.1169
12-03-2020,IN,1.1081
12-03-2020,KS,1.1155
12-03-2020,KY,1.1155
12-03-2020,LA,1.1807
12-03-2020,MA,1.0758
12-03-2020,MD,1.0688
12-03-2020,ME,1.1599
12-03-2020,MI,1.0969
12-03-2020,MN,1.0628
12-03-2020,MO,1.0312
12-03-2020,MP,0
12-03-2020,MS,1.0073
12-03-2020,MT,1.0878
12-03-2020,NC,1.0826
12-03-2020,ND,1.101
12-03-2020,NE,1.1389
12-03-2020,NH,1.2147
12-03-2020,NJ,1.1369
12-03-2020,NM,1.1361
12-03-2020,NV,0.9736
12-03-2020,NY,1.0825
12-03-2020,OH,1.1457
12-03-2020,OK,1.127
12-03-2020,OR,1.0554
12-03-2020,PA,1.113
12-03-2020,PR,1.0565
12-03-2020,RI,1.212
12-03-2020,SC,1.0459
12-03-2020,SD,1.1865
12-03-2020,Sh,1.4013
12-03-2020,St,0.7156
12-03-2020,TN,1.0856
12-03-2020,TX,1.0321
12-03-2020,Un,1.2063
12-03-2020,UT,1.1022
12-03-2020,VA,1.0512
12-03-2020,VI,0.7883
12-03-2020,VT,1.4069
12-03-2020,WA,0.944
12-03-2020,WI,1.1379
12-03-2020,WV,1.2739
12-03-2020,WY,1.1731
13-03-2020,AK,0.9032
13-03-2020,AL,1.0479
13-03-2020,AR,1.0665
13-03-2020,AS,0
13-03-2020,AZ,0.982
13-03-2020,CA,1.0071
13-03-2020,CO,1.0656
13-03-2020,CT,1.0557
13-03-2020,DC,0.9567
13-03-2020,DE,1.1703
13-03-2020,FL,1.0363
13-03-2020,GA,1.0205
13-03-2020,GU,0
13-03-2020,HI,1.1705
13-03-2020,IA,1.0349
13-03-2020,ID,1.0726
13-03-2020,IL,1.0801
13-03-2020,IN,1.0835
13-03-2020,KS,1.1003
13-03-2020,KY,1.1039
13-03-2020,LA,1.1159
13-03-2020,Ly,0
13-03-2020,MA,1.0308
13-03-2020,MD,1.0215
13-03-2020,ME,1.0918
13-03-2020,MI,1.0663
13-03-2020,MN,1.0371
13-03-2020,MO,1.02
13-03-2020,MP,0
13-03-2020,MS,0.9816
13-03-2020,MT,1.0878
13-03-2020,NC,1.0502
13-03-2020,ND,1.0831
13-03-2020,NE,1.1048
13-03-2020,NH,1.1942
13-03-2020,NJ,1.0946
13-03-2020,NM,1.0927
13-03-2020,NV,0.915
13-03-2020,NY,1.0287
13-03-2020,OH,1.1117
13-03-2020,OK,1.0863
13-03-2020,OR,1.0184
13-03-2020,PA,1.0789
13-03-2020,PR,1.0276
13-03-2020,RI,1.1724
13-03-2020,SC,1.0175
13-03-2020,SD,1.1487
13-03-2020,So,0
13-03-2020,TN,1.0594
13-03-2020,TX,0.9927
13-03-2020,Un,0.9445
13-03-2020,UT,1.0717
13-03-2020,VA,1.0184
13-03-2020,VI,0.9415
13-03-2020,VT,1.3356
13-03-2020,WA,0.9135
13-03-2020,WI,1.1034
13-03-2020,WV,1.2149
13-03-2020,WY,1.1154
14-03-2020,AK,0.8674
14-03-2020,AL,0.9772
14-03-2020,AR,0.9951
14-03-2020,AS,0
14-03-2020,AZ,0.9468
14-03-2020,CA,0.951
14-03-2020,CO,1.0154
14-03-2020,CT,1.0082
14-03-2020,DC,0.9075
14-03-2020,DE,1.1192
14-03-2020,FL,0.9881
14-03-2020,GA,0.9736
14-03-2020,GU,0
14-03-2020,HI,1.0776
14-03-2020,IA,0.9889
14-03-2020,ID,1.0136
14-03-2020,IL,1.0276
14-03-2020,IN,1.0368
14-03-2020,KS,1.0187
14-03-2020,KY,1.0585
14-03-2020,LA,1.0535
14-03-2020,MA,0.9824
14-03-2020,MD,0.9572
14-03-2020,ME,1.0514
14-03-2020,MI,1.0103
14-03-2020,MN,0.9933
14-03-2020,MO,0.9761
14-03-2020,MS,0.9054
14-03-2020,MT,1.0354
